,abbreviation
ABILENE-CHRISTIAN,ABILENE-CHRISTIAN
AIR-FORCE,AIR-FORCE
AKRON,AKRON
ALABAMA-AM,ALABAMA-AM
ALABAMA-BIRMINGHAM,ALABAMA-BIRMINGHAM
ALABAMA-STATE,ALABAMA-STATE
ALABAMA,ALABAMA
ALBANY-NY,ALBANY-NY
ALCORN-STATE,ALCORN-STATE
AMERICAN,AMERICAN
APPALACHIAN-STATE,APPALACHIAN-STATE
ARIZONA-STATE,ARIZONA-STATE
ARIZONA,ARIZONA
ARKANSAS-LITTLE-ROCK,ARKANSAS-LITTLE-ROCK
ARKANSAS-PINE-BLUFF,ARKANSAS-PINE-BLUFF
ARKANSAS-STATE,ARKANSAS-STATE
ARKANSAS,ARKANSAS
ARMY,ARMY
AUBURN,AUBURN
AUSTIN-PEAY,AUSTIN-PEAY
BALL-STATE,BALL-STATE
BAYLOR,BAYLOR
BELLARMINE,BELLARMINE
BELMONT,BELMONT
BETHUNE-COOKMAN,BETHUNE-COOKMAN
BINGHAMTON,BINGHAMTON
BOISE-STATE,BOISE-STATE
BOSTON-COLLEGE,BOSTON-COLLEGE
BOSTON-UNIVERSITY,BOSTON-UNIVERSITY
BOWLING-GREEN-STATE,BOWLING-GREEN-STATE
BRADLEY,BRADLEY
BRIGHAM-YOUNG,BRIGHAM-YOUNG
BROWN,BROWN
BRYANT,BRYANT
BUCKNELL,BUCKNELL
BUFFALO,BUFFALO
BUTLER,BUTLER
CAL-POLY,CAL-POLY
CAL-STATE-BAKERSFIELD,CAL-STATE-BAKERSFIELD
CAL-STATE-FULLERTON,CAL-STATE-FULLERTON
CAL-STATE-NORTHRIDGE,CAL-STATE-NORTHRIDGE
CALIFORNIA-BAPTIST,CALIFORNIA-BAPTIST
CALIFORNIA-DAVIS,CALIFORNIA-DAVIS
CALIFORNIA-IRVINE,CALIFORNIA-IRVINE
CALIFORNIA-RIVERSIDE,CALIFORNIA-RIVERSIDE
CALIFORNIA-SAN-DIEGO,CALIFORNIA-SAN-DIEGO
CALIFORNIA-SANTA-BARBARA,CALIFORNIA-SANTA-BARBARA
CALIFORNIA,CALIFORNIA
CAMPBELL,CAMPBELL
CANISIUS,CANISIUS
CENTRAL-ARKANSAS,CENTRAL-ARKANSAS
CENTRAL-CONNECTICUT-STATE,CENTRAL-CONNECTICUT-STATE
CENTRAL-FLORIDA,CENTRAL-FLORIDA
CENTRAL-MICHIGAN,CENTRAL-MICHIGAN
CHARLESTON-SOUTHERN,CHARLESTON-SOUTHERN
CHARLOTTE,CHARLOTTE
CHATTANOOGA,CHATTANOOGA
CHICAGO-STATE,CHICAGO-STATE
CINCINNATI,CINCINNATI
CITADEL,CITADEL
CLEMSON,CLEMSON
CLEVELAND-STATE,CLEVELAND-STATE
COASTAL-CAROLINA,COASTAL-CAROLINA
COLGATE,COLGATE
COLLEGE-OF-CHARLESTON,COLLEGE-OF-CHARLESTON
COLORADO-STATE,COLORADO-STATE
COLORADO,COLORADO
COLUMBIA,COLUMBIA
CONNECTICUT,CONNECTICUT
COPPIN-STATE,COPPIN-STATE
CORNELL,CORNELL
CREIGHTON,CREIGHTON
DARTMOUTH,DARTMOUTH
DAVIDSON,DAVIDSON
DAYTON,DAYTON
DELAWARE-STATE,DELAWARE-STATE
DELAWARE,DELAWARE
DENVER,DENVER
DEPAUL,DEPAUL
DETROIT-MERCY,DETROIT-MERCY
DIXIE-STATE,DIXIE-STATE
DRAKE,DRAKE
DREXEL,DREXEL
DUKE,DUKE
DUQUESNE,DUQUESNE
EAST-CAROLINA,EAST-CAROLINA
EAST-TENNESSEE-STATE,EAST-TENNESSEE-STATE
EASTERN-ILLINOIS,EASTERN-ILLINOIS
EASTERN-KENTUCKY,EASTERN-KENTUCKY
EASTERN-MICHIGAN,EASTERN-MICHIGAN
EASTERN-WASHINGTON,EASTERN-WASHINGTON
ELON,ELON
EVANSVILLE,EVANSVILLE
FAIRFIELD,FAIRFIELD
FAIRLEIGH-DICKINSON,FAIRLEIGH-DICKINSON
FLORIDA-AM,FLORIDA-AM
FLORIDA-ATLANTIC,FLORIDA-ATLANTIC
FLORIDA-GULF-COAST,FLORIDA-GULF-COAST
FLORIDA-INTERNATIONAL,FLORIDA-INTERNATIONAL
FLORIDA-STATE,FLORIDA-STATE
FLORIDA,FLORIDA
FORDHAM,FORDHAM
FRESNO-STATE,FRESNO-STATE
